"ensembl_gene_id","external_gene_name","bucket","great_apes","chimp_human","age"
"ENSG00000147121","KRBOX4",1,"no","no","old"
"ENSG00000196150","ZNF250",1,"no","no","old"
"ENSG00000172748","ZNF596",3,"no","no","old"
"ENSG00000147789","ZNF7",1,"no","no","old"
"ENSG00000147124","ZNF41",1,"no","no","old"
"ENSG00000173258","ZNF483",1,"no","no","old"
"ENSG00000173275","ZNF449",1,"no","no","old"
"ENSG00000175787","ZNF169",1,"no","no","old"
"ENSG00000197779","ZNF81",1,"no","no","old"
"ENSG00000197363","ZNF517",2,"no","no","young"
"ENSG00000196152","ZNF79",1,"no","no","old"
"ENSG00000127081","ZNF484",1,"no","no","old"
"ENSG00000196378","ZNF34",1,"no","no","old"
"ENSG00000147117","ZNF157",1,"no","no","old"
"ENSG00000147118","ZNF182",1,"no","no","old"
"ENSG00000136866","ZFP37",1,"no","no","old"
"ENSG00000196597","ZNF782",1,"no","no","old"
"ENSG00000215356","ZNF705B",2,"no","no","young"
"ENSG00000214652","ZNF727",2,"no","no","young"
"ENSG00000272602","ZNF595",2,"no","no","young"
"ENSG00000275111","ZNF2",1,"no","no","old"
"ENSG00000274349","ZNF658",3,"no","no","old"
"ENSG00000278129","ZNF8",1,"no","no","old"
